,BFC02,BFC04,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WFC01,WFC03,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09,BFA03,BFA02,BMA02,BMA04,WFA01,WFA02,WMA01,WMA02
PAIR,4,"""x""",3,3,1,2,4,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
PARK,4,"""x""",4,2,1,2,4,1,2,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
PASS,4,"""x""",3,2,1,2,1,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
PAUSE,4,"""x""",4,2,3,2,4,1,2,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
PEACE,4,"""x""",3,3,3,2,4,1,3,3,1,1,2,3,3,3,3,3,3,3,1,"""x""",4,1,"""x""",2,"""x""","""x"""
PEAK,4,"""x""",4,3,1,2,4,2,3,3,1,1,2,2,3,3,3,3,3,4,2,"""x""",4,3,"""x""",2,"""x""","""x"""
PEER,4,"""x""",4,3,3,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",2,1,"""x""",2,"""x""","""x"""
PEN,4,"""x""",3,2,3,2,4,1,2,3,1,1,2,3,2,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
PHASE,1,"""x""",4,2,2,2,4,1,2,3,1,1,2,2,2,3,3,3,3,4,2,"""x""",4,1,"""x""",2,"""x""","""x"""
PIE,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
PINE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
